cue,target,strength
SCALLOP,SEA,0.026
SCALLOP,OYSTER,0.02
SCALLOP,ONION,0.013
SCALP,HAIR,0.377
SCALP,HEAD,0.326
SCALP,DANDRUFF,0.065
SCALP,INDIAN,0.065
SCALP,BALD,0.051
SCALP,ITCH,0.036
SCALP,CUT,0.014
SCALP,DRY,0.014
SCALP,SKIN,0.014
SCALPEL,DOCTOR,0.223
SCALPEL,KNIFE,0.216
SCALPEL,CUT,0.162
SCALPEL,SURGERY,0.101
SCALPEL,SURGEON,0.047
SCALPEL,SHARP,0.034
SCALPEL,INSTRUMENT,0.027
SCALPEL,OPERATION,0.02
SCALPEL,TOOL,0.02
SCALPEL,FORCEPS,0.014
SCALPEL,METAL,0.014
SCALPEL,SCISSORS,0.014
SCAPEGOAT,BLAME,0.11
SCAPEGOAT,EXCUSE,0.078
SCAPEGOAT,LIE,0.058
SCAPEGOAT,PATSY,0.039
SCAPEGOAT,PERSON,0.032
SCAPEGOAT,ANIMAL,0.026
SCAPEGOAT,COWARD,0.019
SCAPEGOAT,GOAT,0.019
SCAPEGOAT,SUCKER,0.019
SCAPEGOAT,ACCUSED,0.013
SCAPEGOAT,BROTHER,0.013
SCAPEGOAT,DECEPTION,0.013
SCAPEGOAT,EASY,0.013
SCAPEGOAT,ESCAPE,0.013
SCAPEGOAT,FALL,0.013
SCAPEGOAT,FOOL,0.013
SCAPEGOAT,JEW,0.013
SCAPEGOAT,LOSER,0.013
SCAPEGOAT,TRICK,0.013
SCAPEGOAT,TROUBLE,0.013
SCAPEGOAT,WIMP,0.013
SCAR,UGLY,0.128
SCAR,CUT,0.087
SCAR,FACE,0.081
SCAR,ACCIDENT,0.047
SCAR,MARK,0.047
SCAR,PAIN,0.047
SCAR,WOUND,0.047
SCAR,BURN,0.027
SCAR,FIGHT,0.027
SCAR,HURT,0.027
SCAR,PERMANENT,0.027
SCAR,SCRATCH,0.027
SCAR,MENTAL,0.02
SCAR,SCAB,0.02
SCAR,SORE,0.02
SCAR,STITCHES,0.02
SCAR,TISSUE,0.02
SCAR,BATTLE,0.013
SCAR,BLEMISH,0.013
SCAR,BLOOD,0.013
SCAR,FOREVER,0.013
SCAR,HEAL,0.013
SCAR,INJURY,0.013
SCAR,SKIN,0.013
SCAR,SURGERY,0.013
SCAR,WAR,0.013
SCARCE,FEW,0.134
SCARCE,RARE,0.134
SCARCE,PLENTY,0.113
SCARCE,LITTLE,0.099
SCARCE,FOOD,0.035
SCARCE,LOT,0.028
SCARCE,NONE,0.028
SCARCE,ABUNDANT,0.021
SCARCE,EMPTY,0.021
SCARCE,LESS,0.021
SCARCE,ECONOMICS,0.014
SCARCE,HIDDEN,0.014
SCARCE,LIMITED,0.014
SCARCE,MANY,0.014
SCARCE,OBSCURE,0.014
SCARCE,POPULAR,0.014
SCARCE,SMALL,0.014
SCARCE,SPARSE,0.014
SCARCITY,RARE,0.149
SCARCITY,FEW,0.128
SCARCITY,LITTLE,0.088
SCARCITY,NONE,0.047
SCARCITY,ABUNDANCE,0.027
SCARCITY,LACK,0.027
SCARCITY,NEED,0.027
SCARCITY,NOTHING,0.027
SCARCITY,PLENTY,0.027
SCARCITY,SCARCE,0.02
SCARCITY,SHORTAGE,0.02
SCARCITY,SPARSE,0.02
SCARCITY,EXTINCTION,0.014
SCARCITY,FAMINE,0.014
SCARCITY,LESS,0.014
SCARCITY,LIMITED,0.014
SCARCITY,NOT THERE,0.014
SCARCITY,POVERTY,0.014
SCARCITY,WATER,0.014
SCARE,FRIGHT,0.464
SCARE,AFRAID,0.123
SCARE,FEAR,0.051
SCARE,HORROR,0.036
SCARE,SCREAM,0.022
SCARE,CRY,0.014
SCARE,DARK,0.014
SCARE,FACE,0.014
SCARE,HAPPY,0.014
SCARE,JUMP,0.014
SCARE,LAUGH,0.014
SCARECROW,CORN,0.203
SCARECROW,STRAW,0.13
SCARECROW,CROW,0.101
SCARECROW,OZ,0.094
SCARECROW,BIRD,0.087
SCARECROW,FIELD,0.072
SCARECROW,FARM,0.051
SCARECROW,HALLOWEEN,0.043
SCARECROW,HAY,0.029
SCARECROW,MRS. KING,0.029
SCARECROW,GARDEN,0.022
SCARECROW,TIN MAN,0.022
SCARECROW,DUMMY,0.014
SCARED,FRIGHTENED,0.315
SCARED,AFRAID,0.151
SCARED,FEAR,0.075
SCARED,STIFF,0.048
SCARED,DARK,0.021
SCARED,HORROR,0.021
SCARED,RUN,0.021
SCARED,HAPPY,0.014
SCARED,SAFE,0.014
SCARED,TERRIFIED,0.014
SCARED,TIMID,0.014
SCARED,WORRY,0.014
SCARF,NECK,0.162
SCARF,HAT,0.121
SCARF,HANDKERCHIEF,0.091
SCARF,COLD,0.071
SCARF,HEAD,0.04
SCARF,RED,0.04
SCARF,TIE,0.04
SCARF,WIND,0.04
SCARF,WINTER,0.04
SCARF,BLACK,0.02
SCARF,CLOTH,0.02
SCARF,CLOTHES,0.02
SCARF,DRESS,0.02
SCARF,GIRL,0.02
SCARF,MUFFLER,0.02
SCARF,WOOL,0.02
SCARF,WRAP,0.02
SCARY,FRIGHT,0.166
SCARY,HORROR,0.166
SCARY,MOVIE,0.135
SCARY,AFRAID,0.081
SCARY,DARK,0.061
SCARY,FEAR,0.034
SCARY,HALLOWEEN,0.034
SCARY,GHOST,0.02
SCARY,SCARE,0.02
SCARY,SPOOKY,0.02
SCARY,FILM,0.014
SCARY,JASON,0.014
SCARY,UGLY,0.014
SCENE,PLAY,0.159
SCENE,MOVIE,0.087
SCENE,PICTURE,0.087
SCENE,VIEW,0.071
SCENE,ACT,0.063
SCENE,PLACE,0.04
SCENE,LANDSCAPE,0.032
SCENE,PARK,0.032
SCENE,BEAUTIFUL,0.024
SCENE,CRIME,0.016
SCENE,LOCATION,0.016
SCENE,ONE,0.016
SCENE,SIGHT,0.016
SCENE,VISION,0.016
SCENERY,VIEW,0.14
SCENERY,BEAUTIFUL,0.08
SCENERY,PICTURE,0.067
SCENERY,GREEN,0.06
SCENERY,PRETTY,0.053
SCENERY,TREES,0.053
SCENERY,COUNTRY,0.04
SCENERY,MOUNTAIN,0.04
SCENERY,LANDSCAPE,0.033
SCENERY,GRASS,0.027
SCENERY,PLAY,0.027
SCENERY,LOOK,0.02
SCENERY,NATURE,0.02
SCENERY,OUTSIDE,0.02
SCENERY,PAINTING,0.02
SCENERY,BEACH,0.013
SCENERY,LAKE,0.013
SCENERY,MOVIE,0.013
SCENERY,NICE,0.013
SCENERY,RELAXING,0.013
SCENERY,STAGE,0.013
SCENERY,WATER,0.013
SCENT,SMELL,0.625
SCENT,PERFUME,0.103
SCENT,ODOR,0.087
SCENT,AROMA,0.04
SCENT,FRAGRANCE,0.016
SCENT,NOSE,0.016
SCHEDULE,CLASS,0.221
SCHEDULE,TIME,0.2
SCHEDULE,SCHOOL,0.103
SCHEDULE,LIST,0.034
SCHEDULE,AGENDA,0.028
SCHEDULE,APPOINTMENT,0.028
SCHEDULE,ROUTINE,0.028
SCHEDULE,CALENDAR,0.021
SCHEDULE,ITINERARY,0.021
SCHEDULE,ORGANIZE,0.021
SCHEDULE,PLAN,0.021
SCHEDULE,BUSY,0.014
SCHEDULE,HECTIC,0.014
SCHEDULE,SYLLABUS,0.014
SCHEDULE,WORK,0.014
SCHEME,PLAN,0.392
SCHEME,PLOT,0.126
SCHEME,CONNIVE,0.028
SCHEME,DEVIOUS,0.028
SCHEME,SNEAKY,0.028
SCHEME,ACT,0.021
SCHEME,TRICK,0.021
SCHEME,DEVISE,0.014
SCHEME,IDEA,0.014
SCHEME,PLAY,0.014
SCHEME,SCAM,0.014
SCHEME,SCANDAL,0.014
SCHEME,SLY,0.014
SCHEME,THINGS,0.014
SCHEME,THINK,0.014
SCHOLARSHIP,MONEY,0.433
SCHOLARSHIP,SCHOOL,0.12
SCHOLARSHIP,AWARD,0.073
SCHOLARSHIP,GRANT,0.053
SCHOLARSHIP,COLLEGE,0.047
SCHOLARSHIP,SMART,0.04
SCHOLARSHIP,ACADEMIC,0.02
SCHOLARSHIP,ATHLETIC,0.02
SCHOLARSHIP,GRADES,0.02
SCHOLARSHIP,DEGREE,0.013
SCHOLARSHIP,FREE,0.013
SCHOLARSHIP,LOAN,0.013
SCHOLARSHIP,STUDENT,0.013
SCHOOL,WORK,0.128
SCHOOL,COLLEGE,0.112
SCHOOL,BOOK,0.071
SCHOOL,BUS,0.071
